2015;;;;;;;;;;;;2016;;;;;;;;;;;;2017;;;;;;;;;;;
Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
25946;23314;25782;25556;25520;24198;24411;24654;25176;24780;23326;22635;24975;23481;24759;24546;24670;23784;23649;23886;23968;22997;21288;21063;23920;21830;25594;24486;25765;24755;24364;24587;24739;24586;23100;22055
67634;62776;75035;72055;74258;70204;70739;67493;70180;67839;62159;61698;64708;63268;72857;71293;74055;69522;69089;64252;61611;58459;53437;54541;60339;57922;70183;68900;74683;70425;68921;68281;66174;66292;63252;62718
101359;96648;110991;104496;105995;98925;97916;94064;95311;89401;87161;94898;97812;96522;106953;101892;102969;95496;92464;88561;86407;82193;77192;83640;89124;90536;107822;100644;106970;100630;97863;94237;91216;87910;87922;90708
35123;33349;38124;35324;35845;33783;33782;32177;32587;31143;30510;33239;34853;34109;36484;34418;34982;33118;32525;32083;30999;28709;27501;29819;31338;31706;38184;34553;36857;34863;33743;33013;31267;29766;29250;31109
20277;19409;22705;21712;21736;20106;20285;19991;20834;19611;19088;20071;19802;19682;22055;20980;21482;19756;19193;18638;18461;17910;16622;17495;18522;18252;22098;20615;21769;20615;20336;20078;19392;19301;18806;18815
